idle  , sensor, wifi_on , transmission, distance, accept
 42407,  24049, 17617655,           97,      400, no
 83986,  24053,   183093,           92,      400, yes
110921,  24056,   182781,           92,      400, yes
 85087,  24052,   182859,           92,      400, yes
 82216,  24051,   182843,          116,      400, yes
 96866,  24050,   183549,           92,      400, yes
 55059,  24037,   183342,           92,      400, yes
 45965,  24049,  8206438,           95,      400, no
 42220,  24050, 20703382,           94,      400, no
 75213,  24054,   182897,          116,      400, yes
 65917,  24055,   182888,          116,      400, yes
 73378,  24052,   182847,           91,      400, yes
 76244,  24054,   182833,           93,      400, yes
 51329,  24055,   182863,           91,      400, yes
 42309,  24049,   253884,          116,      400, yes
 42318,  24049,  4624029,           92,      400, no
 42759,  24049, 22108815,           94,      400, no
 49282,  24050,  4400868,           95,      400, no
 42221,  24049,  1509982,          116,      400, no
 42271,  24049,  9654202,           91,      400, no
 42275,  24049, 42229431,          168,      400, no
122659,  24053,  5843033,          116,      400, no
 85188,  24052,   183317,          116,      400, yes
 75096,  24052,   183547,           91,      400, yes
 72673,  24054,   181960,           81,      400, yes
 55476,   2901,   182600,           74,       40, yes
 42520,   2875, 28881177,           97,       40, no
 42221,   2875, 11700917,           99,       40, no
 42213,   2875, 50351819,           97,       40, no
 75502,   2877,   183470,           92,       40, yes
 50047,   2877,   182773,           91,       40, yes
 48200,   2878,   183168,           92,       40, yes
 42199,   2875,  2650657,           96,       40, no
 42203,   2875, 14144429,           96,       40, no
119411,   2881,   182757,           91,       40, yes
118597,   2875,   182723,           92,       40, yes
119555,   2882,   183465,           91,       40, yes
118538,   2882,   182986,           92,       40, yes
 96159,   2875,  8446349,           95,       40, no
 42873,   2875,   421681,           84,       40, no
 42539,   2875,  3930561,           95,       40, no
 42221,   2875, 19270140,           99,       40, no
108802,   2882,   182998,           92,       40, yes
 80362,   2878,   182959,           92,       40, yes
 96087,   2878,   183022,           92,       40, yes
 83753,   2879,   182739,           91,       40, yes
 69409,   2875,   416094,           91,       40, no
 51431,   2877,   182769,           92,       40, yes
 70773,   2877,   183502,           92,       40, yes
 86990,   2876,   182723,           91,       40, yes
