idle  , wifi_on , sensor, transmission, distance, accept
 32413,  3537634,  23751,          327,      400, no
 41998, 17713288,  23929,          327,      400, no
 80746,   183276,  23942,          327,      400, yes
 85745,   182933,  23937,          326,      400, yes
 43768,  8825028,  23951,          327,      400, no
 41998,  5749929,  23940,          327,      400, no
 42272, 26616530,  23932,          327,      400, no
 42233,  2709437,  23939,          327,      400, no
145482,   183485,  23937,          327,      400, yes
118436,   183171,  23937,          327,      400, yes
114335,   183012,  23937,          327,      400, yes
116858,   183485,  23937,          327,      400, yes
 77627,  8031421,  23938,          327,      400, no
 42242,   335244,  23936,          327,      400, no
 42239,  4063513,  23937,          327,      400, no
 84897,   183221,  23938,          327,      400, yes
 97539,   183069,  23923,          262,      400, yes
 58221,   183253,  23937,          327,      400, yes
 80285,   183490,  23937,          327,      400, yes
115940,   183262,  23943,          327,      400, yes
 98721,  8727601,  23921,          263,      400, no
 43025,   450893,  23938,          327,      400, no
 41907,  3993540,  23937,          327,      400, no
 82830,   183226,  23943,          326,      400, yes
 93933,   183234,  23938,          327,      400, yes
      
 74233,   183490,   2761,          332,       40, yes
 48153,   182827,   2777,          332,       40, yes
 86987,   183607,   2762,          331,       40, yes
 52025,   182640,   2762,          331,       40, yes
 52439,   183607,   2762,          331,       40, yes
 42602,   368674,   2762,          331,       40, no
 42026,  5019433,   2774,          331,       40, no
 43217, 23625305,   2774,          331,       40, no
 42648,  1192368,   2779,          332,       40, no
 43970,   399207,   2778,          332,       40, no
 41917,  2555122,   2763,          331,       40, no
 45493,   183031,   2782,          331,       40, yes
 41989, 17872719,   2777,          331,       40, no
 83326,   182933,   2762,          332,       40, yes
111503,   183549,   2767,          331,       40, yes
107724,   183549,   2767,          331,       40, yes
 79822,   183226,   2766,          332,       40, yes
 57547,   183380,   2762,          332,       40, yes
 44758,  7359705,   2778,          331,       40, no
 42247, 14473983,   2773,          332,       40, no
 82621,  6939787,   2765,          331,       40, no
 73841,   182981,   2761,          332,       40, yes
 51251,   182901,   2762,          331,       40, yes
 49171,   183565,   2762,          331,       40, yes
 62150,   183607,   2762,          332,       40, yes
